作者,看板,標題,日期,類型,內文
sky2030 (無業遊民),Boy-Girl,[心情] 出國巧遇台女趣事,2023-12,心情,"最近常跟朋友一起跑胡志明，河內玩

玩什麼就不要問了

某天晚上 剛好在一間麵店吃飯，隔壁桌坐了兩個台女

應該也是自由行來玩…

於是我就暗示我朋友不要講話 假裝聽不懂

安靜的吃麵

於是聽到台女各種抱怨胡志明

真的是快笑死…87%在台灣當慣了大小姐

他們邊吃還邊不時 往我們這裡打量

可能是因為我朋友頗帥的 又或是我們穿著不像越南人

吃完後 我們在店門口等車，她們也出來了    我們還是假裝聽不懂

其中一個女生 突然說要去廁所

回頭跟店家借廁所…然後當場被店家拒絕

我看她的表情 超級不爽 轉頭跟同伴抱怨

我心裡真的快笑死

自以為在台灣橫著走 出了國別人就要理你嗎？

越南最不缺的就是妹 ok?

於是我不演了 好意跟她說 你給個1-2萬盾（台幣10塊）他就借你了 如果你急的話

聽完她也不會說謝謝 繼續繃著臉…

好吧…我也不理她了

我們車來了就離開了

我猜 他們的os 可能是 搞屁啊 老娘在台灣可是一堆工具人 舔狗

沒想到來越南還要被門口阿桑白眼 上廁所 還要付錢…


說句難聽一點，也就台灣處處讓著台女而已，千萬不要以為自己真的是鑲金的

我朋友說 幹 你真的很靠北 但我喜歡！



"
iamjimhaha (磨刀霍霍向肥羊),Boy-Girl,[討論] 找台女不找外配是不是因為不想養？,2023-12,討論,"
發現有些台男
明明就找不到對象
卻不願意找外籍

是否是因為找台女還能要求有工作

找外配可能找不到工作(除非開越南小吃店)
還可能要養對方越南一大家子呢？

有沒有八卦

"
Sugimoto5566 (馬丁),Boy-Girl,"[討論] 印度移工如果來台,台女會怎麼選?",2023-11,討論,"未來的有一天

如果印度的移工來到台灣

街上勢必有更多印度男

印度男有深邃的五官

黝黑健康的身體

相比之下台男東方臉+白斬雞身材  台女更不會挑台男了吧?

有沒有卦?

"
corydoras09 (),Boy-Girl,Re: [討論] 為何台女很少會主動認錯?,2023-11,討論,"我有遇過那種我完全沒錯的女生
死的都能掰成活的
但那時候暈船暈的厲害
所以一直舔
現在想想真的是去他馬的

現在這個就會道歉了
不接電話被我罵
我開車時打電話過來也被我罵
然後她就一直道歉

唉
果然女人就是要
；）

最後奉勸遇到那種，遲到不道歉、無理不道歉、
佔了便宜還說你自願的這種死XX，

我只有兩個字
快跑啊


"
drinkmuffin (暢飲鬆餅),Boy-Girl,Re: [討論] 為何台女很少會主動認錯?,2023-11,討論," 
 
？？？
我遇到的比較多是台男才少主動認錯吧？
 
一推愛面子愛到不行 說話一定要或多或少帶有宣示自己優點的說法
一察覺到有人的長處是比自己差的 一定要衝出來說嘴一番
 
真的被打臉 每位根Godtone 比沈默加無視
 
女生至少還會說「對不起啦 不要生氣」
或是「我知道錯了」
你還不接受才會說「我都道歉了 你還要怎樣？」
 
你的情景應該是
「在職場上為什麼都不主動認錯」
 
你剛出社會？工作上沒人在認錯的 特別是傳產
你把證據塞在他臉上也不會說 跟政客有87%像
 
為什麼？因為你如果認錯…
扣你年終也是理所當然囉
把你評價最低也可以囉
讓你會議上一個人全扛也是名正言順把 你都認錯了
升職等沒有你很正常吧！明年再加油囉
 
但不認錯又不一樣了
 
以前菜菜的時候主管聽到我認錯興奮的跟什麼一樣 我才知道那就是地獄的開端
"
geige (),Boy-Girl,Re: [討論] 為何台女很少會主動認錯?,2023-11,討論,"有些人超奇怪的

你用他對待你的方式對待他

他就會生氣

可是他都持續那樣對待別人也不覺得自己哪裡有錯

放生不要理他就好

改變别人是很困難的

改變自己不要理對方就簡單多了

我們自己不要犯賤
"
ga014388 (張儒),Boy-Girl,Re: [討論] 台女會覺得外籍新娘是威脅嗎???????????,2023-11,討論,"結論：
不會，因為台男裡面一堆智能障礙又自大還自我優越感覺良好的廢物。

就算女生被騙過來最後也是離開。
就算女生不是被騙過來，最後也是離開。

三觀不正，沒經濟能力的還是不要去禍害人家了吧。
"
CuLiZn5566 (同理心5566),Boy-Girl,Re: [討論] 台女會覺得外籍新娘是威脅嗎???????????,2023-11,討論,"
女生有三六九等

男生也有三六九等


如果你討論的是

教育程度低

家庭收入低

因為種種原因不得不遠嫁他鄉的外籍新娘

那麼這些人主要的對象

幾乎都是比較低端的台灣男性


這些台灣男性沒辦法在本國市場找到合適的對象

只能花錢去國外買新娘

這些人既然已經是被篩選過一輪的

自然不會對一般的台灣女性造成威脅



真正的問題在於

有沒有那種真愛CCR的伴侶

當然一定是有的

不過以台灣的情況來看

絕對不會是大宗



因為台灣薪資偏低

經濟成長率也不好

所以外國女生就算看得上台灣男生

大概也不會嫁來台灣

更常見的是在海外工作

這種情形不會對台灣女性造成威脅





所以真的要PK請先界定好量級

你說的台灣女性到底是哪一個族群的台灣女性

學歷 經歷 年紀 薪水 家世背景

這些東西列出來

才能去有效討論台灣女性

會不會因為引進外籍新娘而被威脅



"
kobe8bryant (kobe),Boy-Girl,Re: [討論] 台女會覺得外籍新娘是威脅嗎???????????,2023-11,討論,"https://www.youtube.com/watch?v=eI-Rl40walw

影片是13年前變性人劉熏愛接受記者訪問 白色女記者非常嚴厲+不爽的口氣

13年前的整型技術一定又比現在的差

當然我不否認也是有男生會嘲笑這種變性人 但我確定這種變性者會給台女帶來威脅

越來越多人可以接受這種 反正也不想要下一代

有的是跟本查覺不出來 身份證也換了

而且變性者""男變女""的多於 女變男 因為器官從無到有比較困難

我從小到大接觸的人 那種很man的女生是T比較多

真的很娘的男生 會懷疑他的性向

應該是基因導致


一般的女外勞不會對台女造成威脅 因為會娶的男生也不會多有錢

我反而希望工廠台女可以多跟男外勞結婚 是一種平衡

菲律賓男生很多肌肉一結一結的很好看 +工作認真


前面的回文說台男越來越沒錢 中、越女嫁來台灣人數年年下降 也是事實

男同志人數多於女同志;有的女同志年長後會轉性 嫁給男人，男同志轉回去的沒聽過

結論單身獨居人口只會越來越多

"
damm (S e t h),Boy-Girl,Re: [討論] 台女會覺得外籍新娘是威脅嗎???????????,2023-11,討論,"這也不是只有台女的問題喇
台灣的發展過程，
造成所有人巨嬰化。

就是抄襲、剽竊，
然候開始覺得自己很厲害，
開始覺得這裡「應該」怎麼樣，
那裡「應該」怎麼樣，
因為這樣的剽竊過程，
其實整個代價、影響範圍等，
這些需要很基礎很紮實的累積，
就通通沒有人會想到。

很多事情是要付出代價的，
一味的看別人想自己，
就是付出自己都不知道的代價。

台灣的代價，
就是「族群」純血的自我滅絕。

混合其他的族群，
或是被取代，
是一個可見的解決方案。


"
